Mile Marker,Name,Categories,City/Town,State/Province,Country,Location,Sublocation,,Website,Telephone
,Marina Les Berges,Marina,"212 1re Rue, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.141008961102564, -73.26348548191558",https://marinalesberges.ca/,14502913312
,Marina Gosselin,Marina,"116 1re Rue, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.13368088697435, -73.2667655102612",https://www.marinagosselin.com/,14502913170
,Daniel Masson Marine,Marina,"950 Rue Principale, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.13032028002238, -73.27708665050241",http://www.marinedanielmasson.com/,14502915000
,Marine 360,Marina,"50 62e Avenue, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.12807976539797, -73.2703489416411",http://www.marine360.ca/,15142828484
,Marina St-Paul-L'Ile-Aux-Noix,Marina,"910 Rue Principale, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.12645334830994, -73.28118785849317",http://www.marina-ile-aux-noix.com/,14502913010
,Marina Fortin Inc.,Marina,"878 Rue Principale, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.12385689216749, -73.2837413214569",https://marinafortin.com/,14502913333
,Marina Rose des Vents,Marina,Le Haut-Richelieu,Quebec,Canada,Richelieu River,Southern,"45.06140419243307, -73.33415061247196",http://www.marinarosedesvents.com/,
,Marina Sieur de Champlain,Marina,Lacolle,Quebec,Canada,Richelieu River,Southern,"45.02326885466941, -73.35398018716312",,
,Canadian Border,Border,Rouses Point,New York,United States,Lake Champlain,Northern,"45.01077012779936, -73.3432084361967",,
,Fort Montgomery,Landmark,Rouses Point,New York,United States,Lake Champlain,Northern,"45.00868800569846, -73.34880352404889",,
,Safe Harbor Gaines,Marina,Rouses Point,New York,United States,Lake Champlain,Northern,"44.99073806062195, -73.36167477074986",https://shmarinas.com/locations/safe-harbor-gaines/,15182977000
,Wilcox Dock,Public Dock,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.70847168491057, -73.44332713226694",,
,City of Plattsburgh Marina,Marina,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.69684969183512, -73.4405045217145",http://www.plattsburghrecreation.com/marina,15183247245
,Plattsburgh Boat Basin,Marina,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.69673529473506, -73.44057425914698",http://www.plattsburghboatbasin.com/,15185612800
,Crab Island,Island,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.66205497214494, -73.41656248040859",,
,USACOE Troy Federal Lock,Lock,Troy,New York,United States,Hudson River,Capital Region,"42.75143385094, -73.6854453811803",,
,Collar City Bridge,Bridge,Green Island,New York,United States,Hudson River,Capital Region,"42.74029199112693, -73.68862053434404",,
,Troy Downtown Marina,Marina,Troy,New York,United States,Hudson River,Capital Region,"42.73533161505528, -73.68861027050298",,
,Green Island Bridge,Bridge,Troy,New York,United States,Hudson River,Capital Region,"42.73551755427481, -73.68974939955453",,
,Troy-Menands Bridge,Bridge,Troy,New York,United States,Hudson River,Capital Region,"42.70100460748762, -73.70300899934794",,
,Congress Street Bridge,Bridge,Watervliet,New York,United States,Hudson River,Capital Region,"42.728914387195815, -73.69723695740751",,
,Chelsea Piers Marina,Marina,New York City,New York,United States,Hudson River,NYC,"40.74607978425462, -74.00962283904776",https://www.chelseapiers.com/marina,12123366600
,Statue of Liberty,Landmark,New York City,New York,United States,Hudson River,NYC,"40.68920869521197, -74.04460769103578",,
,Verrazzano-Narrows Bridge,Landmark,New York City,New York,United States,Hudson River,NYC,"40.606974563134344, -74.04343711540345",,
0,Romer Shoal Light,Aid to Navigation,Middletown Township,New Jersey,United States,Atlantic Ocean,Ocean,"40.50957918512855, -73.99857781617676",,
,Waterford Marina,Marina,Waterford,New York,United States,Hudson River,Capital Region,"42.78783189939874, -73.67992966314684",,
,Waterford Harbor Visitor Center,Points of Interest,Waterford,New York,United States,Hudson River,Capital Region,"42.78737522803156, -73.67958634040231",,15182339123
,Erie Canal Lock E2,Lock,Waterford,New York,United States,Hudson River,Capital Region,"42.78927275423102, -73.68175356524912",,18004226254
,112th Street Bridge,Bridge,Cohoes,New York,United States,Hudson River,Capital Region,"42.77169376826124, -73.68166081053707",,
,Troy Motor Boat & Canoe Club,Marina,Troy,New York,United States,Hudson River,Capital Region,"42.78251903756698, -73.67571101112426",http://troyboatclub.com/,15182359697
,Troy-Waterford Bridge,Bridge,Troy,New York,United States,Hudson River,Capital Region,"42.788770466078724, -73.67409785290502",,
,Waterford Boat Launch,Boat Launch,Waterford,New York,United States,Hudson River,Capital Region,"42.785576064516526, -73.67744261914862",,
,"Lock C1 Waterford, Champlain Canal",Lock,Waterford,New York,United States,Hudson River,Capital Region,"42.82405537326736, -73.6643180672735",,15182378566
,Lock One Marina,Marina,Waterford,New York,United States,Hudson River,Capital Region,"42.82924448018401, -73.66629735293856",http://www.lockonemarinaandshipyard.com/,15182381321
,Halfmoon Lighthouse Park,Points of Interest,Halfmoon,New York,United States,Hudson River,Capital Region,"42.838574327684704, -73.67266047546154",http://www.townofhalfmoon-ny.gov/parks-department/pages/lighthouse-park,15183717410
,Mechanicville Hydroelectric Plant,Points of Interest,Mechanicville,New York,United States,Hudson River,Capital Region,"42.877964741674965, -73.67753173730165",https://en.wikipedia.org/wiki/Mechanicville_Hydroelectric_Plant,
,Mechanicville City Docks,Public Dock,Mechanicville,New York,United States,Hudson River,Capital Region,"42.90405988907791, -73.68396404905175",,
,Howland Ave Bridge,Bridge,Mechanicville,New York,United States,Hudson River,Capital Region,"42.905364438563446, -73.68230376171691",,
,"Lock C3 Mechanicville North, Champlain Canal",Lock,Mechanicville,New York,United States,Hudson River,Capital Region,"42.91169032628117, -73.67777351072817",,
,"Lock C2 Mechanicville South, Champlain Canal",Lock,Mechanicville,New York,United States,Hudson River,Capital Region,"42.87787500659451, -73.67635448085775",,
,Mechanicville Rail Bridge,Bridge,Mechanicville,New York,United States,Hudson River,Capital Region,"42.919280603574634, -73.67183300288767",,
,"Lock C4 Schaghticoke, Champlain Canal",Lock,Schaghticoke,New York,United States,Hudson River,Capital Region,"42.93239887540657, -73.6545905709741",,15186645261
,Stillwater Bridge,Bridge,Stillwater,New York,United States,Hudson River,,"42.93698354773763, -73.64952846871257",,
,Town of Saratoga Boat Launch,Boat Launch,Quaker Springs,New York,United States,Hudson River,,"43.03610955094749, -73.59227658929832",,
,The Alley Bar and Grill,Restaurant,Schuylerville,New York,United States,Hudson River,,"43.05910513621496, -73.59314904006052",,15185076151
,Schuylerville Beach,Points of Interest,Schuylerville,New York,United States,Hudson River,,"43.098828805181604, -73.57586555230571",,
,The Basin Grill,Restaurant,Schuylerville,New York,United States,Hudson River,,"43.09832351388868, -73.57597552289732",http://www.thebasingrill.com/,15186952073
,Schuylerville Bridge,Bridge,Schuylerville,New York,United States,Hudson River,,"43.0985644090987, -73.57538275469828",,
,Batten Kill River ,Confluence,Clark Mills,New York,United States,Hudson River,,"43.10950266172438, -73.57461521930261",,
,The Marshall House,Historic Landmark,Schuylerville,New York,United States,Hudson River,,"43.11125713342057, -73.57997963733123",https://themarshallhouse.org/,15185075444
,"Lock C5 Northumberland, Champlain Canal",Lock,Schuylerville,New York,United States,Hudson River,,"43.112537709372766, -73.57797334504292",,15186953919
,Northumberland Bridge,Bridge,Greenwich,New York,United States,Hudson River,,"43.128801717438975, -73.58706998018788",,
,"Lock C6 Fort Miller, Champlain Canal",Lock,Fort Edward,New York,United States,Hudson River,,"43.16153275491472, -73.5798174017929",,
,Fort Miller Road Bidge,Bridge,Fort Edward,New York,United States,Hudson River,,"43.16671799248884, -73.57980207961684",,
,"Fort Edward, Empire State Trail Bridge",Bridge,Fort Edward,New York,United States,Hudson River,,"43.17766562040275, -73.57924867584393",,
,"Fort Edward, Champlain Canal Historic Lock ",Historic Landmark,Fort Edward,New York,United States,Hudson River,,"43.18954480038459, -73.5810223882048",,
,Moses Kill River,Confluence,Fort Edward,New York,United States,Hudson River,,"43.19921475661272, -73.58200973033641",,
