Mile Marker,Name,Categories,City/Town,State/Province,Country,Location,Sublocation,Coordinates,Website,Telephone,VHF,Description,Fuel Available,Fuel Types,Ethanol Free,Total Slips,Transient Slips,Max Vessel Length,Min Depth,Bridge Type,Bridge Clearance,Bridge Clearance Open,Bridge Roadway,Bridge Opening Schedule,Lock Number,Lock Canal,Lock Lift,Lock Chamber Length,Lock Chamber Width,Lock Operating Hours,Lock Operating Season,ATON Characteristic,ATON Color,ATON Shape
,Marina Les Berges,Marina,"212 1re Rue, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.141008961102564, -73.26348548191558",https://marinalesberges.ca/,14502913312,,Full-service marina on Richelieu River,TRUE,gasoline,FALSE,,,,,,,,,,,,,,,,,,,
,Marina Gosselin,Marina,"116 1re Rue, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.13368088697435, -73.2667655102612",https://www.marinagosselin.com/,14502913170,,Marina on Richelieu River,TRUE,gasoline,FALSE,,,,,,,,,,,,,,,,,,,
,Daniel Masson Marine,Marina,"950 Rue Principale, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.13032028002238, -73.27708665050241",http://www.marinedanielmasson.com/,14502915000,,Full-service marina and boat dealer,TRUE,"gasoline,diesel",FALSE,,,,,,,,,,,,,,,,,,,
,Marine 360,Marina,"50 62e Avenue, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.12807976539797, -73.2703489416411",http://www.marine360.ca/,15142828484,,Marina on Richelieu River,,,,,,,,,,,,,,,,,,,,,,
,Marina St-Paul-L'Ile-Aux-Noix,Marina,"910 Rue Principale, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.12645334830994, -73.28118785849317",http://www.marina-ile-aux-noix.com/,14502913010,,Marina near Fort Lennox,TRUE,gasoline,FALSE,,,,,,,,,,,,,,,,,,,
,Marina Fortin Inc.,Marina,"878 Rue Principale, Île-aux-Noix, QC J0J 1G0, Canada",Quebec,Canada,Richelieu River,Southern,"45.12385689216749, -73.2837413214569",https://marinafortin.com/,14502913333,,Full-service marina,TRUE,"gasoline,diesel",FALSE,,,,,,,,,,,,,,,,,,,
,Marina Rose des Vents,Marina,Le Haut-Richelieu,Quebec,Canada,Richelieu River,Southern,"45.06140419243307, -73.33415061247196",http://www.marinarosedesvents.com/,,,Marina on Richelieu River,,,,,,,,,,,,,,,,,,,,,,
,Marina Sieur de Champlain,Marina,Lacolle,Quebec,Canada,Richelieu River,Southern,"45.02326885466941, -73.35398018716312",,,,Marina near US border,,,,,,,,,,,,,,,,,,,,,,
,Canadian Border,Border,Rouses Point,New York,United States,Lake Champlain,Northern,"45.01077012779936, -73.3432084361967",,,,US-Canada border crossing on Lake Champlain,,,,,,,,,,,,,,,,,,,,,,
,Fort Montgomery,Landmark,Rouses Point,New York,United States,Lake Champlain,Northern,"45.00868800569846, -73.34880352404889",,,,Historic fort at Rouses Point,,,,,,,,,,,,,,,,,,,,,,
,Safe Harbor Gaines,Marina,Rouses Point,New York,United States,Lake Champlain,Northern,"44.99073806062195, -73.36167477074986",https://shmarinas.com/locations/safe-harbor-gaines/,15182977000,9,Full-service marina at northernmost point of US Lake Champlain,TRUE,"gasoline,diesel",TRUE,100,20,60,8,,,,,,,,,,,,,,,
,Rouses Point Bridge,Bridge,Rouses Point,New York,United States,Lake Champlain,Northern,"44.9892, -73.3622",,,,Korean War Veterans Memorial Bridge connecting NY to VT,,,,,,,,fixed,56,,US Route 2,,,,,,,,,,,
